entid,tax_type,tax_state,cdate,ttype,province
722691858,1,0,,2,1
705310922,1,0,,2,1
412086145,1,0,,2,1
412086145,1,0,,2,1
412086145,1,0,,2,1
412086145,1,0,,2,1
1116571015,1,0,,2,1
500970908,1,0,,2,1
500970908,1,0,,2,1
500970908,1,0,,2,1
500970908,1,0,,2,1
500970908,1,0,,2,1
500970908,1,0,,2,1
500970908,1,0,,2,1
500970908,1,0,,2,1
1057654777,1,0,,2,1
371713118,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
882446289,1,0,,2,1
548493601,1,0,2016-06-02,2,1
424989205,0,0,2017-11-24,1,0
162729196,1,0,,1,2
309977928,1,0,,1,2
558388192,1,0,2015-01-23,1,2
896876904,1,0,,1,2
206555162,1,0,,1,2
1157977132,1,0,,1,2
580170754,1,0,,1,2
100425290,1,0,,1,2
388516157,1,0,,1,2
698946445,1,0,,1,2
1141344782,1,0,,1,2
570077886,1,0,2015-04-26,1,2
672082440,1,0,2015-08-30,1,2
899568771,1,0,,1,2
726735583,1,0,,1,2
726735583,1,0,,1,2
726735583,1,0,,1,2
783395514,1,0,,1,2
738818162,1,0,,1,2
752577853,1,0,,1,2
471239918,1,0,,1,2
589353712,1,0,,1,2
1189025517,1,0,,1,2
993295834,1,0,,1,2
491251458,1,0,,1,2
491251458,1,0,,1,2
876795652,1,0,,1,2
876795652,1,0,,1,2
876795652,1,0,,1,2
781576227,1,0,,1,2
702990878,1,0,2016-05-29,1,2
535352782,1,0,,1,2
1204996213,1,0,,1,2
534082754,1,0,,1,2
886830685,1,0,,1,2
434535004,1,0,,1,2
543890956,1,0,,1,2
199732240,1,0,,1,2
682537294,1,0,,1,2
640450849,1,0,,1,2
640450849,1,0,2016-09-28,1,2
333686413,1,0,,1,2
982046039,1,0,,1,2
74906695,1,0,,1,2
884853596,1,0,,1,2
500016024,1,0,,1,2
500016024,1,0,,1,2
479006038,1,0,,1,2
530649537,1,0,,1,2
572538608,1,0,2015-08-30,1,2
159157541,1,0,,1,2
435933247,1,0,,1,2
858118052,1,0,,1,2
858118052,1,0,,1,2
532398636,1,0,,1,2
440133186,1,0,,1,2
499232727,1,0,2016-03-22,1,2
1173942093,1,0,,1,2
588320433,1,0,,1,2
60973352,1,0,,1,2
514259305,1,0,,1,2
346671211,1,0,,1,2
589095801,1,0,,1,2
589095801,1,0,,1,2
377705656,1,0,2015-01-30,1,2
842088100,1,0,,1,2
314383006,1,0,,1,2
690756846,1,0,,1,2
779928235,1,0,,1,2
150680780,1,0,,1,2
95375757,1,0,,1,2
132799368,1,0,,1,2
312152062,1,0,,1,2
440481144,1,0,,1,2
115726514,1,0,,1,2
1151354220,1,0,,1,2
460104494,1,0,,1,2
460104494,1,0,,1,2
460104494,1,0,,1,2
763577842,1,0,,1,2
349722036,1,0,,1,2
773481184,1,0,2015-10-01,1,2
1124148664,1,0,,1,2
1000685535,1,0,,1,2
207483814,1,0,,1,2
302806995,1,0,,1,2
1155046364,1,0,,1,2
920321812,1,0,,1,2
511889456,1,0,,1,2
793823151,1,0,,1,2
21495398,1,0,,1,2
984763588,1,0,,1,2
702255789,1,0,,1,2
702255789,1,0,2016-10-29,1,2
757657917,1,0,,1,2
757657917,1,0,2016-04-29,1,2
642702743,1,0,,1,2
676953669,1,0,2016-09-28,1,2
98029885,1,0,,1,2
1170430006,1,0,,1,2
1171029049,1,0,,1,2
1134988699,1,0,,1,2
354934080,1,0,,1,2
501284869,1,0,,1,2
389991809,1,0,,1,2
823753595,1,0,,1,2
103873188,1,0,,1,2
931854045,1,0,,1,2
236203073,1,0,,1,2
925128027,1,0,,1,2
869052952,1,0,,1,2
706992684,1,0,,1,2
541074519,1,0,,1,2
301743547,1,0,,1,2
779108758,1,0,,1,2
201934483,1,0,,1,2
898832183,1,0,,1,2
976639581,1,0,,1,2
228182297,1,0,2016-02-27,1,2
971837647,1,0,,1,2
338094005,1,0,2016-02-27,1,2
637079923,1,0,,1,2
664043828,1,0,2016-05-29,1,2
1148827754,1,0,,1,2
93483092,1,0,2016-02-28,1,2
278469566,1,0,,1,2
860165968,1,0,,1,2
36314847,1,0,2015-11-30,1,2
499835405,1,0,,1,2
796034628,1,0,2015-04-28,1,2
908910575,1,0,,1,2
876098486,1,0,2015-12-30,1,2
1156613538,1,0,,1,2
91850727,1,0,,1,2
597303107,1,0,,1,2
594044076,1,0,,1,2
855315125,1,0,,1,2
96684219,1,0,,1,2
559056077,1,0,,1,2
234672002,1,0,,1,2
152935696,1,0,,1,2
279413112,1,0,,1,2
21013823,1,0,,1,2
795933195,1,0,,1,2
1160651495,1,0,,1,2
1160651495,1,0,,1,2
194632375,1,0,2016-07-28,1,2
1001486243,1,0,2015-08-29,1,2
723394308,1,0,2016-02-29,1,2
487069415,1,0,2015-06-26,1,2
498015441,1,0,,1,2
126131663,1,0,2015-12-30,1,2
304651929,1,0,,1,2
691933262,1,0,,1,2
660529291,1,0,,1,2
863065175,1,0,,1,2
519478266,1,0,,1,2
616014124,1,0,,1,2
1151352690,1,0,,1,2
687434437,1,0,,1,2
545110976,1,0,,1,2
545110976,1,0,,1,2
640634768,1,0,,1,2
417024900,1,0,2015-10-29,1,2
1020651292,1,0,,1,2
1020651292,1,0,,1,2
210467886,1,0,,1,2
901442380,1,0,,1,2
72751747,1,0,2015-04-30,1,2
179736494,1,0,,1,2
968596017,1,0,2016-09-26,1,2
149089962,1,0,,1,2
1084529852,1,0,,1,2
28115559,1,0,,1,2
879756096,1,0,,1,2
1050687001,3,2,2010-11-28,1,0
1050687001,3,2,2010-11-28,1,0
212403366,2,0,2017-01-19,1,0
212403366,4,1,2017-04-12,2,5
361015755,4,1,2016-06-30,2,5
694908503,1,0,2016-10-29,1,0
694908503,4,1,2016-03-28,2,5
368305758,4,1,2015-11-30,2,5
615971298,1,0,2017-12-31,1,0
615971298,1,0,2017-12-31,1,0
1064559629,2,2,2014-05-26,1,0
1064559629,4,1,2017-06-03,2,5
1101944932,1,0,2016-12-11,1,0
1101944932,4,1,2016-05-11,2,5
63165459,1,0,2017-12-25,1,0
790389876,2,0,2016-06-28,1,0
790389876,4,1,2016-08-28,2,5
914550718,1,0,2017-08-21,1,0
518382911,1,0,2016-05-28,1,0
941804680,1,0,2017-02-25,1,0
708538081,4,1,2017-03-28,2,5
159872005,4,1,2015-06-30,2,5
1183518695,1,0,2017-07-30,1,0
996056694,2,0,2017-11-21,1,0
724805518,4,3,2016-07-29,1,1
85580779,4,3,2015-09-30,1,1
159559301,4,3,2016-07-31,1,1
159559301,4,3,,2,1
403721550,4,3,2014-11-30,1,1
834914998,4,3,,2,1
40431646,4,3,,2,1
392017860,4,3,,2,1
694488174,4,3,2015-10-25,1,1
694488174,4,3,,2,1
1031468583,4,3,,2,1
1234077177,4,3,,2,5
725319392,4,3,,2,5
659104221,4,3,,2,5
68687328,4,3,,2,5
166869326,4,3,,2,5
1194794368,4,3,,2,5
701620490,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
25272201,4,3,,2,5
1213633567,4,3,,2,5
138874014,4,3,,2,5
246779029,4,3,,2,5
624346306,4,3,,2,5
866893485,4,3,,2,5
756490410,4,3,,2,5
806793229,4,3,,2,5
634715264,4,3,,2,5
979782641,4,3,,2,5
1184142613,4,3,2017-12-19,2,6
549190134,0,3,2015-03-29,1,2
1018645353,0,3,2015-08-24,1,2
5503066,0,3,2016-09-27,1,2
1019081039,0,3,2016-08-28,1,2
26575424,0,3,2015-02-24,1,2
646618607,0,3,2017-11-23,1,2
913367375,0,3,2014-12-22,1,2
1121720437,0,3,2016-05-26,1,2
106493943,0,3,2016-07-27,1,2
367149101,0,3,2014-07-30,1,2
23396983,0,3,2017-01-23,1,2
1050585695,0,3,2016-01-26,1,2
706063241,0,3,2017-09-28,1,2
271874611,0,3,2015-06-18,1,2
754401537,0,3,2015-01-31,1,2
1054940749,0,3,2016-11-25,1,2
532703855,0,3,2016-04-26,1,2
532703855,0,3,2016-11-27,1,2
588112005,0,3,2015-04-23,1,2
120527222,0,3,2014-04-24,1,2
894251596,0,3,2014-03-23,1,2
844571032,0,3,2015-01-24,1,2
1031288467,0,3,2014-09-26,1,2
244208972,4,3,2017-10-31,2,9
581905153,4,3,2017-03-08,2,9
553181905,4,3,,2,9
751034805,4,3,,2,9
928467304,4,3,2016-02-28,2,9
814820539,4,0,2016-02-05,1,8
205974207,4,0,2015-05-26,1,8
289045650,4,0,2016-04-24,1,8
804550396,4,0,2017-05-18,1,8
1157719592,4,0,2016-06-18,1,8
1148422298,4,0,2016-10-20,1,8
589907050,4,0,2017-05-28,1,8
286249077,4,0,2015-12-01,1,8
767933803,4,0,2016-06-22,1,8
545229784,4,0,2016-04-07,1,8
545229784,4,0,2016-05-15,2,5
369907769,4,0,2016-01-09,1,8
595732139,4,0,2017-05-18,1,8
975529059,4,0,2017-02-15,1,8
196371498,4,0,2016-09-27,1,8
342149367,4,0,2016-02-28,1,8
342149367,4,0,2016-10-31,2,5
665767247,4,0,2016-08-30,1,8
505192797,4,0,2016-03-27,1,8
505192797,4,0,2016-02-25,2,5
839154556,4,0,2017-09-27,1,8
1063866717,4,0,2016-02-15,2,5
855724058,4,0,2016-05-29,1,8
489696441,4,0,2017-09-22,1,8
1142187243,4,0,2016-04-22,1,8
484409931,4,0,2010-08-30,1,3
1217755268,4,0,2014-12-13,1,3
266874547,4,0,2015-06-30,1,3
316944600,4,0,2017-07-23,1,3
321871524,4,0,2006-01-28,1,3
744703328,4,0,2016-07-15,1,3
690187757,4,0,2014-12-30,1,3
1227739246,4,0,2016-07-30,1,3
322152429,4,0,2017-08-21,1,3
508315671,4,0,2013-09-25,1,3
1134929168,4,2,2017-06-29,1,3
284014779,4,0,2017-07-27,1,4
791724997,4,0,2015-06-27,1,4
420705509,4,0,2017-07-21,1,8
668155588,4,3,,1,7
577990491,4,3,,1,7
176047002,4,3,2017-10-31,1,7
21798098,2,0,2017-08-25,1,0
738883150,4,3,,1,7
738883150,4,3,,1,7
738883150,4,3,,1,7
738883150,4,3,,1,7
939065635,2,0,2017-06-28,1,0
81775757,1,0,2017-04-29,1,0
