type,attribute,importance
0,Unpaid,104
0,BUSST,102
0,RECCAP,96
0,total_profit,86
0,Social,78
0,ENTTYPE,76
0,Ratio,56
0,assets_re,54
0,Frequency,22
0,NETINC,16
1,Ratio,178
1,RECCAP,146
1,BUSST,132
1,ENTTYPE,100
1,INDUSTRYPHY,80
1,Unpaid,50
1,ASSGRO,50
1,Frequency,32
1,total_profit,32
1,Action_Grade,26
2,ENTTYPE,234
2,Ratio,156
2,BUSST,146
2,INDUSTRYPHY,86
2,NETINC,78
2,RECCAP,72
2,Unpaid,52
2,assets_re,50
2,Action_Grade,32
2,TOTEQU,30
3,BUSST,310
3,Ratio,168
3,ENTTYPE,126
3,Unpaid,70
3,INDUSTRYPHY,58
3,NETINC,54
3,RECCAP,52
3,total_profit,38
3,ASSGRO,36
3,assets_re,34
4,BUSST,340
4,Ratio,182
4,ENTTYPE,126
4,INDUSTRYPHY,80
4,Unpaid,64
4,RECCAP,40
4,ttype,34
4,VENDINC,28
4,taxtype,28
4,tax_state,26